hour_key,date_key,date,hour_start,hour_end,hour_start_ts,hour_end_ts,production_units_reported,operation_record_count,monitored_time_h,operation_time_h,downtime_h,published_efficiency,calculated_efficiency,time_reconciliation_variance_h,source_coverage
2022092817,20220928,2022-09-28T00:00:00,17,18,2022-09-28T17:00:00,2022-09-28T18:00:00,146.0,,,,,,,,Output only
2022092818,20220928,2022-09-28T00:00:00,18,19,2022-09-28T18:00:00,2022-09-28T19:00:00,,1.0,0.9999999999999991,0.608311666666664,0.39168833333333514,0.6083116666666646,0.6083116666666646,-5.551115123125783e-17,Operations only
2022100713,20221007,2022-10-07T00:00:00,13,14,2022-10-07T13:00:00,2022-10-07T14:00:00,55.0,1.0,0.16666666666666652,0.11248222222222154,0.05418444444444499,0.6748933333333298,0.6748933333333298,-1.3877787807814457e-17,Both
2022100714,20221007,2022-10-07T00:00:00,14,15,2022-10-07T14:00:00,2022-10-07T15:00:00,347.0,1.0,0.9999999999999991,0.45431833333332655,0.5456816666666726,0.45431833333332694,0.45431833333332694,0.0,Both
2022100715,20221007,2022-10-07T00:00:00,15,16,2022-10-07T15:00:00,2022-10-07T16:00:00,327.0,1.0,0.9999999999999991,0.5248824999999981,0.475117500000001,0.5248824999999986,0.5248824999999986,-5.551115123125783e-17,Both
2022100716,20221007,2022-10-07T00:00:00,16,17,2022-10-07T16:00:00,2022-10-07T17:00:00,375.0,1.0,0.9999999999999991,0.39167222222221343,0.6083277777777858,0.39167222222221376,0.39167222222221376,-1.1102230246251565e-16,Both
2022100717,20221007,2022-10-07T00:00:00,17,18,2022-10-07T17:00:00,2022-10-07T18:00:00,178.0,1.0,0.49999999999999956,0.14585249999999825,0.35414750000000134,0.2917049999999968,0.2917049999999968,-5.551115123125783e-17,Both
2022101013,20221010,2022-10-10T00:00:00,13,14,2022-10-10T13:00:00,2022-10-10T14:00:00,86.0,1.0,0.24999999999999978,0.12924833333333285,0.12075166666666694,0.5169933333333319,0.5169933333333319,-1.3877787807814457e-17,Both
2022101014,20221010,2022-10-10T00:00:00,14,15,2022-10-10T14:00:00,2022-10-10T15:00:00,297.0,1.0,0.9999999999999991,0.49214083333332814,0.507859166666671,0.4921408333333286,0.4921408333333286,0.0,Both
2022101016,20221010,2022-10-10T00:00:00,16,17,2022-10-10T16:00:00,2022-10-10T17:00:00,188.0,1.0,0.6666666666666661,0.20831222222221552,0.4583544444444506,0.3124683333333235,0.3124683333333235,-5.551115123125783e-17,Both
